code_module,code_presentation,id_student,Data analysis,Programming,Maths & statistics,Communication,Domain knowledge,Engagement consistency,gap_severity,final_result
AAA,2013J,11391,0.9425587467362925,0.9425587467362925,0.5013054830287206,0.9295039164490861,0.9425587467362925,0.34464751958224543,0.35404699738903395,Pass
AAA,2013J,28400,0.4516971279373368,0.4516971279373368,0.5013054830287206,0.4725848563968668,0.4516971279373368,0.6422976501305483,0.8543516100957358,Pass
AAA,2013J,30268,0.02610966057441253,0.02610966057441253,0.5013054830287206,0.02610966057441253,0.02610966057441253,0.1671018276762402,3.010487380330723,Withdrawn
AAA,2013J,31604,0.7545691906005222,0.7545691906005222,0.5013054830287206,0.7336814621409922,0.7545691906005222,0.9033942558746736,0.0986945169712794,Pass
AAA,2013J,32885,0.2924281984334204,0.2924281984334204,0.5013054830287206,0.2689295039164491,0.2924281984334204,0.4281984334203655,1.707615317667537,Pass
AAA,2013J,38053,0.47780678851174935,0.47780678851174935,0.5013054830287206,0.5143603133159269,0.47780678851174935,0.6005221932114883,0.734247171453438,Pass
AAA,2013J,45462,0.5039164490861618,0.5039164490861618,0.5013054830287206,0.5091383812010444,0.5039164490861618,0.608355091383812,0.661140121845083,Pass
AAA,2013J,45642,0.6422976501305483,0.6422976501305483,0.5013054830287206,0.639686684073107,0.6422976501305483,0.7049608355091384,0.18337684943429078,Pass
AAA,2013J,52130,0.608355091383812,0.608355091383812,0.5013054830287206,0.5926892950391645,0.608355091383812,0.7127937336814621,0.27262837249782423,Pass
AAA,2013J,53025,0.8407310704960835,0.8407310704960835,0.5013054830287206,0.8093994778067886,0.8407310704960835,0.9138381201044387,0.0986945169712794,Pass
AAA,2013J,57506,0.6892950391644909,0.6892950391644909,0.5013054830287206,0.6971279373368147,0.6892950391644909,0.618798955613577,0.11823324630113141,Pass
AAA,2013J,58873,0.6710182767624021,0.6710182767624021,0.5013054830287206,0.6710182767624021,0.6710182767624021,0.8433420365535248,0.14434290687554396,Pass
AAA,2013J,59185,0.9007832898172323,0.9007832898172323,0.5013054830287206,0.8381201044386423,0.9007832898172323,0.3681462140992167,0.33054830287206266,Pass
AAA,2013J,62155,0.7597911227154047,0.7597911227154047,0.5013054830287206,0.7310704960835509,0.7597911227154047,0.804177545691906,0.0986945169712794,Pass
